Set class,Species
0,Nymphaea odorata 
0 1,Serenoa repens
0 2,Acoelorraphe wrightii
0 3,Sabal palmetto
0 4,Thrinax radiata
0 5,Roystonea regia 
0 6,Coccothrinax argentata
0 1 2,Ipomoea hederifolia
0 1 3,Ipomoea microdactyla
0 2 3,Ipomoea violacea
0 1 4,Ipomoea imperati
0 3 4,Ipomoea pes-caprae 
0 1 5,Ipomoea tunissima 
0 4 5,Ipomoea sagittata 
0 1 6,Ipomoea cordatotriloba
0 5 6,Ipomoea indica
0 2 4,Ipomoea alba
0 2 5,Jacquemontia curtisii
0 3 5,Jacquemontia pentanthos
0 2 6,Dichondra carolinensis 
0 4 6,Calystegia sepium subsp. limnophila
0 2 7,Cuscuta pentagona
0 3 6,Evolvulus alsinoides var. alsinoides
0 3 7,Evolvulus sericeus
0 4 7,Evolvulus grisebachii 
0 4 8,Stylisma villosa
0 1 2 3,Tragia saxicola
0 1 2 4,Tragia urens
0 2 3 4,Euphorbia blodgettii
0 1 3 4,Euphorbia bombensis
0 1 2 5,Euphorbia garberi 
0 3 4 5,Euphorbia hypericifolia 
0 1 2 6,Euphorbia hyssopifolia
0 4 5 6,Euphorbia thymifolia
0 1 2 7,Euphorbia prostrata 
0 1 4 5 ,Euphorbia porteriana
0 1 5 6,Euphorbia ophthalmica
0 1 6 7,Euphorbia maculata
0 2 3 5,Euphorbia pergamena
0 1 3 5,Euphorbia hirta
0 2 4 5,Euphorbia deltoidea subsp. pinetorum
0 2 3 6,Euphorbia deltoidea subsp. adhaerens
0 3 4 6,Euphorbia deltoidea subsp. serpyllum
0 1 3 6,Euphorbia deltoidea subsp. deltoidea
0 3 5 6,Euphorbia conferta
0 2 3 7,Euphorbia cumulicola
0 4 5 7,Euphorbia mesembryanthemifolia
0 1 4 6,Euphorbia trichotoma 
0 2 5 6,Euphorbia inundata
0 1 5 7,Euphorbia polyphylla
0 2 6 7,Euphorbia pinetorum
0 3 4 7,Euphorbia heterophylla
0 1 4 7,Euphorbia cyathophora 
0 3 6 7,Cnidoscolus stimulosus 
0 1 4 8,Croton glandulosus var. septentrionalis
0 3 4 8,Croton glandulosus var. floridanus
0 1 5 8,Croton punctatus 
0 2 4 6,Croton humilis
0 2 4 7,Croton linearis
0 3 5 7,Croton michauxii
0 2 5 7,Caperonia castaneifolia
0 2 4 8,Stillingia aquatica 
0 2 6 8,Stillingia sylvatica 
0 3 5 8,Astraea lobata
0 2 5 8,Acalypha chamaedrifolia
0 3 6 8,Acalypha ostryifolia
0 3 6 9,Argythamnia blodgettii 
0 1 3 7,Gymnanthes lucida 
0 4 6 7,Hippomane mancinella
0 1 2 3 4,Bulbophyllum pachyrachis 
0 1 2 3 5,Camaridium micranthum
0 2 3 4 5,Campylocentrum pachyrrhizum
0 1 2 4 5,Eltroplectris calcarata
0 1 3 4 5,Habenaria quinqueseta
0 1 2 3 6,Habenaria repens
0 3 4 5 6,Habenaria floribunda
0 1 2 3 7,Habenaria nivea
0 4 5 6 7,Platythelys querceticola
0 1 2 5 6,Pelexia adnata
0 1 4 5 6,Triphora gentianoides 
0 1 2 6 7,Pteroglossaspis ecristata
0 1 5 6 7,Oncidium ensatum
0 2 3 4 6,Hexalectris spicata
